Approved symbol	Approved name	Previous symbols	Synonyms	Chromosome	Accession numbers	RefSeq IDs	Ensembl gene ID	NCBI Gene ID
PPIAP52	peptidylprolyl isomerase A pseudogene 52			17p13.1			ENSG00000270606	
PPIAP53	peptidylprolyl isomerase A pseudogene 53			17p12			ENSG00000223878	649873
PPIAP54	peptidylprolyl isomerase A pseudogene 54			17q21.2			ENSG00000264655	390791
PPIAP55	peptidylprolyl isomerase A pseudogene 55			17q23.3			ENSG00000228979	342541
PPIAP56	peptidylprolyl isomerase A pseudogene 56			18p11.21			ENSG00000267663	101927689
PPIAP57	peptidylprolyl isomerase A pseudogene 57			18q11.2			ENSG00000266809	
PPIAP58	peptidylprolyl isomerase A pseudogene 58			19q12			ENSG00000267258	126170
PPIAP59	peptidylprolyl isomerase A pseudogene 59			19q13.41			ENSG00000228674	390956
PPIAP60	peptidylprolyl isomerase A pseudogene 60			2p25.1			ENSG00000226961	107985791
PPIAP61	peptidylprolyl isomerase A pseudogene 61			2p24.1				107985764
PPIAP62	peptidylprolyl isomerase A pseudogene 62			2p16.3			ENSG00000226473	101928610
PPIAP63	peptidylprolyl isomerase A pseudogene 63			2p16.1			ENSG00000231570	
PPIAP64	peptidylprolyl isomerase A pseudogene 64			2p14			ENSG00000236259	100287361
PPIAP65	peptidylprolyl isomerase A pseudogene 65			2q21.1			ENSG00000233428	
PPIAP66	peptidylprolyl isomerase A pseudogene 66			2q31.1			ENSG00000226131	643997
PPIAP67	peptidylprolyl isomerase A pseudogene 67			2q31.1			ENSG00000237260	
PPIAP68	peptidylprolyl isomerase A pseudogene 68			2q33.3			ENSG00000213739	
PPIAP69	peptidylprolyl isomerase A pseudogene 69			3p21.2			ENSG00000228337	
PPIAP70	peptidylprolyl isomerase A pseudogene 70			3p14.2			ENSG00000232407	100506946
PPIAP71	peptidylprolyl isomerase A pseudogene 71			3p14.2			ENSG00000244183	107986014
PPIAP72	peptidylprolyl isomerase A pseudogene 72			3q22.3			ENSG00000174715	256374
PPIAP73	peptidylprolyl isomerase A pseudogene 73			3q25.1			ENSG00000182000	391587
PPIAP74	peptidylprolyl isomerase A pseudogene 74			3q26.1			ENSG00000220343	131055
PPIAP75	peptidylprolyl isomerase A pseudogene 75			3q26.32			ENSG00000271131	
PPIAP76	peptidylprolyl isomerase A pseudogene 76			4q28.1			ENSG00000250484	
PPIAP77	peptidylprolyl isomerase A pseudogene 77			5p12			ENSG00000249092	402213
PPIAP78	peptidylprolyl isomerase A pseudogene 78			5q12.3			ENSG00000234838	202227
PPIAP79	peptidylprolyl isomerase A pseudogene 79			5q14.3			ENSG00000214853	100289244
PPIAP80	peptidylprolyl isomerase A pseudogene 80			7p15.1			ENSG00000174495	402644
PPIAP81	peptidylprolyl isomerase A pseudogene 81			7q11.23			ENSG00000213548	107986732
PPIAP82	peptidylprolyl isomerase A pseudogene 82			7q22.1			ENSG00000213455	442713
PPIAP83	peptidylprolyl isomerase A pseudogene 83			7q35			ENSG00000242978	
PPIAP84	peptidylprolyl isomerase A pseudogene 84			8p12			ENSG00000254152	
PPIAP85	peptidylprolyl isomerase A pseudogene 85			8q12.1			ENSG00000254103	
PPIAP86	peptidylprolyl isomerase A pseudogene 86			8q13.1			ENSG00000213873	
PPIAP87	peptidylprolyl isomerase A pseudogene 87			9q21.13			ENSG00000219149	392352
PPIAP88	peptidylprolyl isomerase A pseudogene 88			9q31.2			ENSG00000227350	
PPIAP89	peptidylprolyl isomerase A pseudogene 89			Xq22.1			ENSG00000223819	442460
PPIAP90	peptidylprolyl isomerase A pseudogene 90			Xq22.1			ENSG00000234557	
PPIAP91	peptidylprolyl isomerase A pseudogene 91			Xq28			ENSG00000228728	
PPIB	peptidylprolyl isomerase B		"CYPB, OI9, PPIase, B, CYP-S1, SCYLP"	15q22.31			ENSG00000166794	5479
PPIC	peptidylprolyl isomerase C		CYPC	5q23.2	S71018	NM_000943	ENSG00000168938	5480
PPID	peptidylprolyl isomerase D		CYP-40	4q32.1		NM_005038	ENSG00000171497	5481
PPIE	peptidylprolyl isomerase E		"CyP-33, MGC3736, MGC111222"	1p34.2	AF042385	NM_006112	ENSG00000084072	10450
PPIEL	peptidylprolyl isomerase E like pseudogene		PPIEP1	1p34.3	CN265253	NR_003929.2	ENSG00000243970	728448
PPIF	peptidylprolyl isomerase F		"hCyP3, Cyp-D"	10q22.3	M80254	NM_005729	ENSG00000108179	10105
PPIG	peptidylprolyl isomerase G		"CARS-Cyp, SRCyp, SCAF10"	2q31.1	X99717		ENSG00000138398	9360
PPIGP1	peptidylprolyl isomerase G pseudogene 1			5q33.2				100131033
PPIH	peptidylprolyl isomerase H		"USA-CYP, CYP-20, SnuCyp-20, CYPH, MGC5016"	1p34.2	AF016371	NM_006347	ENSG00000171960	10465
PPIHP1	peptidylprolyl isomerase H pseudogene 1			11q23.1	AY425814	NG_001586	ENSG00000230911	246731
PPIHP2	peptidylprolyl isomerase H pseudogene 2			Xq23	AY425815			
PPIL1	peptidylprolyl isomerase like 1		CYPL1	6p21.2	AF090992		ENSG00000137168	51645
PPIL1P1	peptidylprolyl isomerase like 1 pseudogene 1			2p23.3		NG_001555	ENSG00000237951	150947
PPIL2	peptidylprolyl isomerase like 2		"UBOX7, CYC4, Cyp-60"	22q11.21			ENSG00000100023	23759
PPIL3	peptidylprolyl isomerase like 3		CyPJ	2q33.1	AF251049		ENSG00000240344	53938
PPIL4	peptidylprolyl isomerase like 4			6q25.1			ENSG00000131013	85313
PPIL6	peptidylprolyl isomerase like 6		"bA425D10.6, MGC41939, dJ919F19.1, RSPH12"	6q21			ENSG00000185250	285755
PPIP5K1	diphosphoinositol pentakisphosphate kinase 1	HISPPD2A	"KIAA0377, IPS1, VIP1"	15q15.3	AF502586	NM_014659	ENSG00000168781	9677
PPIP5K1P1	diphosphoinositol pentakisphosphate kinase 1 pseudogene 1	HISPPD2B	"HISPPD2BP, KIAA0377P"	15q15.3				554224
PPIP5K2	diphosphoinositol pentakisphosphate kinase 2	"HISPPD1, DFNB100"	"KIAA0433, VIP2, CFAP160"	5q21.1	AB007893	NM_015216	ENSG00000145725	23262
PPL	periplakin			16p13.3	AF013717	NM_002705	ENSG00000118898	5493
PPM1A	"protein phosphatase, Mg2+/Mn2+ dependent 1A"		"MGC9201, PP2Calpha, PP2CA"	14q23.1	S87759	NM_021003	ENSG00000100614	5494
PPM1AP1	"protein phosphatase, Mg2+/Mn2+ dependent 1A pseudogene 1"			8p22		NG_002692	ENSG00000250483	137012
PPM1B	"protein phosphatase, Mg2+/Mn2+ dependent 1B"		"PPC2BETAX, PP2CB, PP2CBETA"	2p21	AJ005801	NM_002706	ENSG00000138032	5495
PPM1D	"protein phosphatase, Mg2+/Mn2+ dependent 1D"		"Wip1, PP2C-DELTA"	17q23.3	U78305	NM_003620	ENSG00000170836	8493
PPM1E	"protein phosphatase, Mg2+/Mn2+ dependent 1E"		"POPX1, KIAA1072, PP2CH, CaMKP-N"	17q24.2	AB028995	NM_014906	ENSG00000175175	22843
PPM1F	"protein phosphatase, Mg2+/Mn2+ dependent 1F"		"FEM-2, KIAA0015, POPX2, CaMKPase, CAMKP"	22q11.22	D13640	NM_014634	ENSG00000100034	9647
PPM1G	"protein phosphatase, Mg2+/Mn2+ dependent 1G"		"PP2CG, PP2Cgamma"	2p23.3	Y13936	NM_002707	ENSG00000115241	5496
PPM1H	"protein phosphatase, Mg2+/Mn2+ dependent 1H"	ARHCL1	"KIAA1157, FLJ13253, NERPP-2C"	12q14.1-q14.2	AB032983	NM_020700	ENSG00000111110	57460
PPM1J	"protein phosphatase, Mg2+/Mn2+ dependent 1J"		"FLJ35951, MGC19531, DKFZp434P1514, PP2Czeta, PPP2CZ"	1p13.2	AK093270	NM_005167	ENSG00000155367	333926
PPM1K	"protein phosphatase, Mg2+/Mn2+ dependent 1K"		"DKFZp761G058, PP2Ckappa, hPTMP, PP2Cm, BDP"	4q22.1	BC037552	NM_152542	ENSG00000163644	152926
PPM1K-DT	PPM1K divergent transcript			4q22.1		NR_134236	ENSG00000246375	105369192
PPM1L	"protein phosphatase, Mg2+/Mn2+ dependent 1L"		PP2CE	3q25.33-q26.1	AK055115	NM_139245	ENSG00000163590	151742
PPM1M	"protein phosphatase, Mg2+/Mn2+ dependent 1M"		"PP2Ceta, FLJ32332"	3p21.2	AK096681	NM_144641	ENSG00000164088	132160
PPM1N	"protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)"		FLJ40125	19q13.32	AK097444	NM_001080401	ENSG00000213889	147699
PPME1	protein phosphatase methylesterase 1		PME-1	11q13.4		NM_016147	ENSG00000214517	51400
PPOX	protoporphyrinogen oxidase	VP	PPO	1q23.3	BC002357	NM_000309	ENSG00000143224	5498
PPP1CA	protein phosphatase 1 catalytic subunit alpha	PPP1A	"PP1A, PP-1A, PP1alpha"	11q13		NM_002708		5499
PPP1CB	protein phosphatase 1 catalytic subunit beta		"PP1B, PP-1B, PP1beta"	2p23.2			ENSG00000213639	5500
PPP1CC	protein phosphatase 1 catalytic subunit gamma		"PP1C, PP1gamma"	12q24.11			ENSG00000186298	5501
PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A			12q13.2	U48707	NM_006741	ENSG00000135447	5502
PPP1R1AP1	protein phosphatase 1 regulatory inhibitor subunit 1A pseudogene 1			11q13.5			ENSG00000255255	94304
PPP1R1AP2	protein phosphatase 1 regulatory inhibitor subunit 1A pseudogene 2			16p11.1		NG_022518	ENSG00000261084	100129627
PPP1R1B	protein phosphatase 1 regulatory inhibitor subunit 1B		"DARPP-32, FLJ20940"	17q12	AI124650	NM_032192	ENSG00000131771	84152
PPP1R1C	protein phosphatase 1 regulatory inhibitor subunit 1C		Inhibitor-1-like	2q31.3-q32.1	"AF494535, BC017943"	NM_001080545	ENSG00000150722	151242
PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2		"IPP2, PPP1R2A"	3q29	U68111	NM_006241	ENSG00000184203	5504
PPP1R2B	PPP1R2 family member B	PPP1R2P3	MGC87149	5q33.3	BC066922		ENSG00000231989	153743
PPP1R2C	PPP1R2C family member C	PPP1R2P9	I-4	Xp11.3	AB044137		ENSG00000102055	80316
PPP1R2P1	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 1	PPP1R2P	IPP-2P	6p21.32	AF275684	NG_027882	ENSG00000234515	100507444
PPP1R2P2	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 2			21q22.12			ENSG00000234008	54036
PPP1R2P4	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 4			13q14.13		NG_011458	ENSG00000241353	728970
PPP1R2P5	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 5			2q12.3			ENSG00000229360	649489
PPP1R2P6	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 6			7q34			ENSG00000241661	100130972
PPP1R2P8	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 8			5p14.3				94310
PPP1R2P10	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 10			13q21.31			ENSG00000213232	100128626
PPP1R3A	protein phosphatase 1 regulatory subunit 3A	PPP1R3	GM	7q31.1	AF024578	NM_002711	ENSG00000154415	5506
PPP1R3B	protein phosphatase 1 regulatory subunit 3B		"GL, FLJ14005, PPP1R4"	8p23.1	AK024067	NM_024607	ENSG00000173281	79660
PPP1R3C	protein phosphatase 1 regulatory subunit 3C	PPP1R5	PTG	10q23.32	Y18207	NM_005398	ENSG00000119938	5507
PPP1R3D	protein phosphatase 1 regulatory subunit 3D	PPP1R6		20q13.33	Y18206	NM_006242	ENSG00000132825	5509
PPP1R3E	protein phosphatase 1 regulatory subunit 3E		FLJ00089	14q11.2	AK024489		ENSG00000235194	90673
PPP1R3F	protein phosphatase 1 regulatory subunit 3F		Hb2E	Xp11.23		NM_033215	ENSG00000049769	89801
PPP1R3G	protein phosphatase 1 regulatory subunit 3G			6p25.1		NM_001145115	ENSG00000219607	648791
PPP1R7	protein phosphatase 1 regulatory subunit 7		sds22	2q37.3	AF067136	NM_002712	ENSG00000115685	5510
PPP1R8	protein phosphatase 1 regulatory subunit 8		"ard-1, NIPP-1, PRO2047, ARD1, NIPP1"	1p35.3	AF061959	NM_014110	ENSG00000117751	5511
PPP1R8P1	protein phosphatase 1 regulatory subunit 8 pseudogene 1	PPP1R8P		1p33	AF064758		ENSG00000224986	5512
PPP1R9A	protein phosphatase 1 regulatory subunit 9A		"Neurabin-I, KIAA1222, FLJ20068"	7q21.3	AB033048	NM_001166160	ENSG00000158528	55607
PPP1R9B	protein phosphatase 1 regulatory subunit 9B	"PPP1R6, PPP1R9"	"Spn, SPINO"	17q21.33	AJ401189	NM_032595	ENSG00000108819	84687
PPP1R10	protein phosphatase 1 regulatory subunit 10		"PNUTS, FB19, CAT53, p99"	6p21.33	Y13247	NM_002714	ENSG00000204569	5514
PPP1R10P1	protein phosphatase 1 regulatory subunit 10 pseudogene 1	PPP1R10P		11q24.3		NG_024439	ENSG00000255352	100422381
PPP1R11	protein phosphatase 1 regulatory inhibitor subunit 11	TCTE5	"HCGV, Tctex5, HCG-V, CFAP255"	6p22.1	X81003	NM_021959	ENSG00000204619	6992
PPP1R11P1	protein phosphatase 1 regulatory inhibitor subunit 11 pseudogene 1			1p36.12			ENSG00000236216	94297
PPP1R11P2	protein phosphatase 1 regulatory inhibitor subunit 11 pseudogene 2			Xp11.21		NG_009575	ENSG00000231765	94298
PPP1R12A	protein phosphatase 1 regulatory subunit 12A	MYPT1	"MBS, M130"	12q21.2-q21.31	D87930	NM_002480	ENSG00000058272	4659
PPP1R12A-AS1	PPP1R12A antisense RNA 1		R12A-AS1	12q21.31		NR_146533	ENSG00000257557	105369865
PPP1R12B	protein phosphatase 1 regulatory subunit 12B	MYPT2	"MGC87886, MGC131980, PP1bp55"	1q32.1	AB003062	NM_032105	ENSG00000077157	4660
PPP1R12BP1	protein phosphatase 1 regulatory subunit 12B pseudogene 1	PPP1R12BP	PPP1R12BPY1	Yq11.23			ENSG00000229238	360021
PPP1R12BP2	protein phosphatase 1 regulatory subunit 12B pseudogene 2			Yq11.223		NG_002939	ENSG00000205936	360020
PPP1R12C	protein phosphatase 1 regulatory subunit 12C	LENG3	"DKFZP434D0412, p84, MBS85, p85, AAVS1"	19q13.42	AF312028	NM_017607	ENSG00000125503	54776
PPP1R13B	protein phosphatase 1 regulatory subunit 13B		"p53BP2-like, KIAA0771, p85, ASPP1"	14q32.33	AB018314	NM_015316	ENSG00000088808	23368
PPP1R13L	protein phosphatase 1 regulatory subunit 13 like		"RAI, IASPP"	19q13.32	AF078036	NM_006663	ENSG00000104881	10848
PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A	PPP1INL	CPI-17	19q13.1	AB056508	NM_033256	ENSG00000167641	94274
PPP1R14B	protein phosphatase 1 regulatory inhibitor subunit 14B	PLCB3N	"SOM172, PNG, PHI-1"	11q13.1	X91195	NM_138689	ENSG00000173457	26472
PPP1R14BP1	protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 1	PLCB3NP		22q12	AF030942	NG_001274		50516
PPP1R14BP2	protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 2			2q33.3			ENSG00000213082	729406
PPP1R14BP3	protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 3			4q31.1			ENSG00000179967	100507617
PPP1R14BP4	protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 4			7p14.2				94302
PPP1R14BP5	protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 5			6q22.32			ENSG00000213133	442256
PPP1R14C	protein phosphatase 1 regulatory inhibitor subunit 14C		"CPI17-like, NY-BR-81, KEPI"	6q25.1	AF308297	NM_030949	ENSG00000198729	81706
PPP1R14D	protein phosphatase 1 regulatory inhibitor subunit 14D		"CPI17-like, FLJ20251, GBPI-1, MGC119014, MGC119016"	15q15.1	AK000258	NM_017726	ENSG00000166143	54866
PPP1R15A	protein phosphatase 1 regulatory subunit 15A		GADD34	19q13.2	U83981	NM_014330	ENSG00000087074	23645
PPP1R15B	protein phosphatase 1 regulatory subunit 15B		FLJ14744	1q32.1	AK027650	NM_032833	ENSG00000158615	84919
PPP1R16A	protein phosphatase 1 regulatory subunit 16A		"MGC14333, MYPT3"	8q24.3		NM_032902	ENSG00000160972	84988
PPP1R16B	protein phosphatase 1 regulatory subunit 16B		"KIAA0823, TIMAP, ANKRD4"	20q11.23	AB020630	NM_015568	ENSG00000101445	26051
PPP1R17	protein phosphatase 1 regulatory subunit 17	C7orf16	GSBS	7p14.3	AF071789	NM_006658	ENSG00000106341	10842
PPP1R18	protein phosphatase 1 regulatory subunit 18	KIAA1949	phostensin	6p21.33	AK097089	NM_133471	ENSG00000146112	170954
PPP1R21	protein phosphatase 1 regulatory subunit 21	"CCDC128, KLRAQ1"	FLJ16566	2p16.3	AY134855	NM_152994	ENSG00000162869	129285
PPP1R26	protein phosphatase 1 regulatory subunit 26	KIAA0649		9q34.3	AB014549	NM_014811	ENSG00000196422	9858
PPP1R26-AS1	PPP1R26 antisense RNA 1			9q34.3		NR_038969	ENSG00000225361	100506599
PPP1R26P1	protein phosphatase 1 regulatory subunit 26 pseudogene 1	KIAA0649P1		13q14.2			ENSG00000238086	100418740
PPP1R26P2	protein phosphatase 1 regulatory subunit 26 pseudogene 2	KIAA0649P2		22q11.21			ENSG00000273643	100133064
PPP1R26P3	protein phosphatase 1 regulatory subunit 26 pseudogene 3	KIAA0649P3		22q11.21			ENSG00000275060	100132173
PPP1R26P4	protein phosphatase 1 regulatory subunit 26 pseudogene 4	KIAA0649P4		22q11.21			ENSG00000278008	100132295
PPP1R26P5	protein phosphatase 1 regulatory subunit 26 pseudogene 5	KIAA0649P5		22q11.21			ENSG00000232771	100133040
PPP1R27	protein phosphatase 1 regulatory subunit 27	DYSFIP1	toonin	17q25.3	AF434846	NM_001007533	ENSG00000182676	116729
PPP1R32	protein phosphatase 1 regulatory subunit 32	C11orf66	"IIIG9, FLJ32771"	11q12.2	AK057333	NM_145017	ENSG00000162148	220004
PPP1R35	protein phosphatase 1 regulatory subunit 35	C7orf47	MGC22793	7q22.1	BC026269	NM_145030	ENSG00000160813	221908
PPP1R36	protein phosphatase 1 regulatory subunit 36	C14orf50		14q23.3		NM_172365	ENSG00000165807	145376
PPP1R37	protein phosphatase 1 regulatory subunit 37	LRRC68		19q13.32	BC035704	NM_173634	ENSG00000104866	284352
PPP1R42	protein phosphatase 1 regulatory subunit 42	LRRC67	"dtr, TLLR"	8q13.1	BC055413	NM_001013626	ENSG00000178125	286187
PPP2CA	protein phosphatase 2 catalytic subunit alpha		"PP2Calpha, PP2AC"	5q31.1		NM_002715	ENSG00000113575	5515
PPP2CB	protein phosphatase 2 catalytic subunit beta		PP2Abeta	8p12		NM_001009552	ENSG00000104695	5516
PPP2CBP1	protein phosphatase 2 catalytic subunit beta pseudogene 1	PPP2CBP		16p11.2				5517
PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha		"PR65A, PP2A-Aalpha, PP2AA"	19q13.41		NM_014225	ENSG00000105568	5518
PPP2R1B	protein phosphatase 2 scaffold subunit Abeta		"PR65B, PP2A-Abeta"	11q23.1	AF087438	NM_002716	ENSG00000137713	5519
PPP2R2A	protein phosphatase 2 regulatory subunit Balpha		"PR52A, PR55A, B55A, PR55alpha, B55alpha"	8p21.2	M64929	NM_002717	ENSG00000221914	5520
PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	SCA12	"PR55-BETA, PR52B, B55beta"	5q32	M64930	NM_181678	ENSG00000156475	5521
PPP2R2B-IT1	PPP2R2B intronic transcript 1			5q32			ENSG00000249553	
PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma		"PR52, IMYPNO, MGC33570, PR55G, B55gamma"	4p16.1	AF086924	NM_181876	ENSG00000074211	5522
PPP2R2D	protein phosphatase 2 regulatory subunit Bdelta		"MDS026, B55delta, B55D"	10q26.3	AF220046	NM_018461	ENSG00000175470	55844
PPP2R2DP1	protein phosphatase 2 regulatory subunit Bdelta pseudogene 1			3p22.2			ENSG00000231668	100327036
PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha	PPP2R3	"PR130, PR72"	3q22.2-q22.3	L12146	NM_002718	ENSG00000073711	5523
PPP2R3B	protein phosphatase 2 regulatory subunit B''beta	PPP2R3L	"PPP2R3LY, PR48, PR70"	Xp22.3 and Yp11.3	AF215840	NM_013239	ENSG00000167393	28227
PPP2R3C	protein phosphatase 2 regulatory subunit B''gamma	C14orf10	"FLJ20644, G4-1, G5PR"	14q13.2	AK000651	NM_017917	ENSG00000092020	55012
PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha		"PR61A, B56A, B56alpha"	1q32.3	BC022474	NM_006243	ENSG00000066027	5525
PPP2R5B	protein phosphatase 2 regulatory subunit B'beta		"FLJ35411, B56B, PR61B, B56beta"	11q13.1	L42374	NM_006244	ENSG00000068971	5526
PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma		"B56G, PR61G, B56gamma"	14q32.31	L42375	NM_002719	ENSG00000078304	5527
PPP2R5CP	protein phosphatase 2 regulatory subunit B'gamma pseudogene			3p21.3	AF411591			
PPP2R5D	protein phosphatase 2 regulatory subunit B'delta		"B56D, B56delta"	6p21.1	L76702	NM_006245	ENSG00000112640	5528
PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon		"B56E, B56epsilon"	14q23.2	L76703	NM_006246	ENSG00000154001	5529
PPP3CA	protein phosphatase 3 catalytic subunit alpha	"CALN, CALNA"	"CNA1, PPP2B"	4q24		NM_000944	ENSG00000138814	5530
PPP3CB	protein phosphatase 3 catalytic subunit beta	CALNB	"CALNA2, CNA2, PP2Bbeta"	10q22.2	M29551	NM_021132	ENSG00000107758	5532
PPP3CB-AS1	PPP3CB antisense RNA 1 (head to head)		USP54-AS1	10q22.2			ENSG00000221817	101929145
PPP3CC	protein phosphatase 3 catalytic subunit gamma		"CALNA3, PP2Bgamma"	8p21.3		NM_005605	ENSG00000120910	5533
PPP3R1	"protein phosphatase 3 regulatory subunit B, alpha"		"CALNB1, CNB, CNB1"	2p14	M30773	NM_000945	ENSG00000221823	5534
PPP3R2	"protein phosphatase 3 regulatory subunit B, beta"		PPP3RL	9q31.1	AF145026	NM_147180	ENSG00000188386	5535
PPP4C	protein phosphatase 4 catalytic subunit		"PP4, PPX"	16p11.2		NM_002720	ENSG00000149923	5531
PPP4R1	protein phosphatase 4 regulatory subunit 1		PP4R1	18p11.22	AF111106	NM_005134	ENSG00000154845	9989
PPP4R1-AS1	PPP4R1 antisense RNA 1			18p11.22			ENSG00000263627	101927323
PPP4R1L	protein phosphatase 4 regulatory subunit 1 like (pseudogene)	C20orf192	"bA196N14.4, bA196N14.5, PPP4R1P1"	20q13.32	AF119843	NR_003505	ENSG00000124224	55370
PPP4R2	protein phosphatase 4 regulatory subunit 2			3p13	AJ271448	NM_174907	ENSG00000163605	151987
PPP4R3A	protein phosphatase 4 regulatory subunit 3A	"KIAA2010, SMEK1"	"FLJ20707, MSTP033, FLFL1, smk-1, smk1, PP4R3"	14q32.12	AK000714	NM_032560	ENSG00000100796	55671
PPP4R3B	protein phosphatase 4 regulatory subunit 3B	SMEK2	"PSY2, FLFL2, KIAA1387, FLJ31474"	2p16.1	AB037808	NM_020463	ENSG00000275052	57223
PPP4R3C	protein phosphatase 4 regulatory subunit 3C	"SMEK3P, PPP4R3CP"	"FLJ32867, FLFL3P, smk1"	Xp21.3		NR_002784	ENSG00000224960	139420
PPP4R4	protein phosphatase 4 regulatory subunit 4	KIAA1622	"PP4R4, CFAP14"	14q32.2	"AB046842, BC068491"	NM_058237	ENSG00000119698	57718
PPP5C	protein phosphatase 5 catalytic subunit	PPP5	PP5	19q13.32		NM_006247	ENSG00000011485	5536
PPP5D1	PPP5 tetratricopeptide repeat domain containing 1			19q13.32		NM_001205281	ENSG00000230510	100506012
PPP6C	protein phosphatase 6 catalytic subunit		PP6	9q33.3	AF035158	NM_016294	ENSG00000119414	5537
PPP6CP	protein phosphatase 6 catalytic subunit pseudogene			Xq22.3				100144631
PPP6R1	protein phosphatase 6 regulatory subunit 1	"KIAA1115, SAPS1"	SAP190	19q13.42	AB029038	NM_014931	ENSG00000105063	22870
PPP6R2	protein phosphatase 6 regulatory subunit 2	"KIAA0685, SAPS2"	"dJ579N16.1, SAP190"	22q13.33	AB014585	NM_014678	ENSG00000100239	9701
PPP6R2P1	protein phosphatase 6 regulatory subunit 2 pseudogene 1			21q11.2			ENSG00000233442	
PPP6R3	protein phosphatase 6 regulatory subunit 3	"C11orf23, SAPS3"	"SAPLa, DKFZp781E2374, DKFZp781O2362, DKFZp781E17107, SAP190, SAPL, PP6R3, FLJ11058, FLJ43065, KIAA1558, MGC125711, MGC125712"	11q13	AF264779	NM_018312	ENSG00000110075	55291
PPRC1	"peroxisome proliferator-activated receptor gamma, coactivator-related 1"		"PRC, KIAA0595, MGC74642"	10q24.32	AF325193	NM_015062	ENSG00000148840	23082
PPT1	palmitoyl-protein thioesterase 1	PPT	"CLN1, INCL"	1p34.2	U44772	NM_000310	ENSG00000131238	5538
PPT2	palmitoyl-protein thioesterase 2			6p21.32	AF020543	NM_138717	ENSG00000221988	9374
